,fiction_work,film_adaptation,film_year
238,"Le Blé en herbe (1923), Colette","Le Blé en herbe (1954)
Le Blé en herbe (1990)","['1954', '1990']"
239,"Bleak House (1852–1853) (serial), (1853) (novel), Charles Dickens","Bleak House (1920)
Bleak House (1922)
Bleak House (1927) (short film)
Bleak House (1959) (TV) (serial)
Bleak House (1985) (TV) (serial)
Bleak House (2005) (TV) (serial)","['1920', '1922', '1927', '1959', '1985', '2005']"
240,"Bless the Beasts and Children (1970), Glendon Swarthout",Bless the Beasts & Children (1971),['1971']
241,"Bless the Child (1993), Cathy Cash Spellman",Bless the Child (2000),['2000']
242,"The Blessing (1951), Nancy Mitford",Count Your Blessings (1959),['1959']
243,"Blood and Chocolate (1997), Annette Curtis Klause",Blood & Chocolate (2007),['2007']
244,"Blood Brother (1947), Elliott Arnold",Broken Arrow (1950),['1950']
245,"Blood on the Moon (1941) (a.k.a. Gunman's Chance), Luke Short",Blood on the Moon (1948),['1948']
246,"Blood on the Moon (1984), James Ellroy",Cop (1988),['1988']
247,"The Blood Oranges (1970), John Hawkes",The Blood Oranges (1997),['1997']
248,"Blood Work (1998), Michael Connelly",Blood Work (2002),['2002']
249,"Blue Fin (1969), Colin Thiele",Blue Fin (1978),['1978']
250,"The Blue Lagoon (1908), Henry De Vere Stacpoole","The Blue Lagoon (1923)
The Blue Lagoon (1949)
The Blue Lagoon (1980)","['1923', '1949', '1980']"
251,"Blueprint (Blaupause) (1999), Charlotte Kerner",Blueprint (2003),['2003']
252,"The Body (1983), Richard Sapir",The Body (2001),['2001']
253,"The Body Snatchers (1955), Jack Finney","Invasion of the Body Snatchers (1956)
Invasion of the Body Snatchers (1978)
* Body Snatchers (1993)
** The Invasion (2007)
Invasion of the Pod People (2007)","['1956', '1978', '1993', '2007', '2007']"
254,"Bombaiyer Bombete (1976), Satyajit Ray",Bombaiyer Bombete (2003),['2003']
255,"The Bonfire of the Vanities (1987), Tom Wolfe",The Bonfire of the Vanities (1990),['1990']
256,"Bonjour Tristesse (Hello Sadness) (1954), Françoise Sagan",Bonjour Tristesse (1958),['1958']
257,"Boogiepop and Others (1998), Kouhei Kadono",Boogiepop and Others (2000),['2000']
258,"The Book of Daniel (1971), E. L. Doctorow",Daniel (1983),['1983']
259,"Das Boot (The Boat) (1973), Lothar-Günther Buchheim",Das Boot (The Boat) (1981),['1981']
260,"The Border Jumpers (1955), Will C. Brown",Man of the West (1958),['1958']
261,"The Border Legion (1916), Zane Grey","The Border Legion (1924)
The Last Round-Up (1934)","['1924', '1934']"
262,"Border Town (1934), Carroll Graham",Bordertown (1935),['1935']
263,"The Borrowers (1952), Mary Norton","The Borrowers (1973) (TV)
The Borrowers (1997)
The Borrower Arrietty (2010)","['1973', '1997', '2010']"
264,"The Bostonians (1885–1886) (serial), (1886) (novel), Henry James",The Bostonians (1984),['1984']
265,"Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader
The Bourne Identity (1980)
* The Bourne Supremacy (1986)
** The Bourne Ultimatum (1990)
*** The Bourne Legacy (2004)","The Bourne Identity (1988) (TV)
Bourne (2002–present) (series)
The Bourne Identity (2002)
* The Bourne Supremacy (2004)
** The Bourne Ultimatum (2007)
*** The Bourne Legacy (2012)","['1988', '2002', '2002', '2004', '2007', '2012']"
266,"The Boy in the Striped Pyjamas (2006), John Boyne",The Boy in the Striped Pyjamas (2008),['2008']
267,"Boy on a Dolphin (1955), David Divine",Boy on a Dolphin (1957),['1957']
268,"The Boys from Brazil (1976), Ira Levin",The Boys from Brazil (1978),['1978']
269,"The Bravados (1958), Frank O'Rourke",The Bravados (1958),['1958']
270,"The Brave Bulls (1949), Thomas C. Lea III",The Brave Bulls (1951),['1951']
271,"The Brave Cowboy (1956), Edward Abbey",Lonely Are the Brave (1962),['1962']
272,"The Brave Little Toaster: A Bedtime Story for Small Appliances (1980) Thomas M. Disch
* The Brave Little Toaster Goes to Mars (1988), Thomas M. Disch","The Brave Little Toaster (1987)
* The Brave Little Toaster Goes to Mars (1998)
** The Brave Little Toaster to the Rescue (1999)","['1987', '1998', '1999']"
273,"Brave New World (1932), Aldous Huxley","Brave New World (1980)
Brave New World (1998)
Brave New World (TBA 2011)","['1980', '1998']"
274,"Breakfast of Champions (1973), Kurt Vonnegut, Jr.",Breakfast of Champions (1999),['1999']
275,"Breakfast on Pluto (1998), Patrick McCabe",Breakfast on Pluto (2005),['2005']
276,"Breakfast with Scot (1999), Michael Downing",Breakfast with Scot (2007),['2007']
277,"Breakheart Pass (1974), Alistair MacLean",Breakheart Pass (1975),['1975']
278,"Breaking Smith's Quarter Horse (1963), Paul St. Pierre",Smith! (1969),['1969']
279,"The Bride Wore Black (1940), Cornell Woolrich",The Bride Wore Black (1967),['1967']
280,"Brideshead Revisited, The Sacred & Profane Memories of Captain Charles Ryder (1945), Evelyn Waugh","Brideshead Revisited (1981) (TV) (serial)
Brideshead Revisited (2008)","['1981', '2008']"
281,"The Bridge of San Luis Rey (1927), Thornton Wilder","The Bridge of San Luis Rey (1929)
The Bridge of San Luis Rey (1944)
The Bridge of San Luis Rey (2004)","['1929', '1944', '2004']"
282,"Bridge to Terabithia (1977), Katherine Paterson","Bridge to Terabithia (1985) (TV)
Bridge to Terabithia (2007)","['1985', '2007']"
283,"The Bridges at Toko-Ri (1953), James A. Michener",The Bridges at Toko-Ri (1953),['1953']
284,"The Bridges of Madison County (a. k. a. Love in Black and White) (1992), Robert James Waller",The Bridges of Madison County (1995),['1995']
285,"Bridget Jones (1996–1999) (series), Helen Fielding
Bridget Jones's Diary (1996)
* Bridget Jones: The Edge of Reason (1999)","Bridget Jones (2001–2004) (series)
Bridget Jones's Diary (2001)
* Bridget Jones: The Edge of Reason (2004)","['2001', '2001', '2004']"
286,"Bright Lights, Big City (1984), Jay McInerney","Bright Lights, Big City (1988)",['1988']
287,"Brighton Rock (1938), Graham Greene","Brighton Rock (1947)
Brighton Rock (2010)","['1947', '2010']"
288,"Bringing Out the Dead (1998), Joe Connelly",Bringing Out the Dead (1999),['1999']
289,"Brødre i Blodet (Brothers by Blood) (1996), Ingvar Ambjørnsen","Elling (2001)
* Mors Elling (2003)
** Elsk meg i morgen (2005)","['2001', '2003', '2005']"
290,"Broken April (1978), Ismail Kadare",Abril Despedaçado (Behind the Sun) (2001),['2001']
291,"Brothers in Law (1955), Henry Cecil",Brothers in Law (1957),['1957']
292,"The Brothers Karamazov (1880), Fyodor Dostoyevsky","The Brothers Karamazov (1958)
The Brothers Karamazov (1969)","['1958', '1969']"
293,"Brown's Requiem (1981), James Ellroy",Brown's Requiem (1998),['1998']
294,"Buddwing (1964), Evan Hunter",Mister Buddwing (1966),['1966']
295,"Buffalo Girls (1990), Larry McMurtry",Buffalo Girls (1995) (TV),['1995']
296,"Buffalo Soldiers (1993), Robert O'Connor",Buffalo Soldiers (2003),['2003']
297,"Bump in the Night (1988), Isabelle Holland",Bump in the Night (1991),['1991']
298,"The Burglar in the Closet (1978), Lawrence Block",Burglar (1987),['1987']
299,"El burlador de Sevilla y convidado de piedra (The Trickster of Seville and the Stone Guest) (1616–1630), Tirso de Molina",Don Juan (1926),['1926']
300,"[[Louis L'Amour#Novels - The Burning Hills (1956) ISBN 0-553-28210-7|The Burning Hills]] (1956), Louis L'Amour",The Burning Hills (1956),['1956']
301,"The Burning Shore (1985), Wilbur Smith",Burning Shore (1991),['1991']
302,"Burton and Speke (1982), William Harrison",Mountains of the Moon (1990),['1990']
303,"The Busy Body (1966), Donald E. Westlake",The Busy Body (1967),['1967']
304,"But Gentlemen Marry Brunettes (1927), Anita Loos",Gentlemen Marry Brunettes (1955),['1955']
305,"BUtterfield 8 (1935), John O'Hara",BUtterfield 8 (1960),['1960']
306,"By the Great Horn Spoon! (1963), Sid Fleischman",The Adventures of Bullwhip Griffin (1967),['1967']
308,"The Caine Mutiny (1952), Herman Wouk","The Caine Mutiny (1954)
The Caine Mutiny Court-Martial (1955) (TV)
The Caine Mutiny Court-Martial (1988) (TV)","['1954', '1955', '1988']"
309,"Cal (1983), Bernard MacLaverty",Cal (1984),['1984']
310,"Call for the Dead (1961), John le Carré",The Deadly Affair (1966),['1966']
311,"Call It Treason (1949), George Howe",Decision Before Dawn (1951),['1951']
312,"The Call of the Wild (1903), Jack London","The Call of the Wild (1935)
The Call of the Wild (1972)
What a Nightmare, Charlie Brown! (1978) (TV)
The Call of the Wild (1993) (TV)
The Call of the Wild: Dog of the Yukon (1997)
Call of the Wild (2009)
Disney's The Call of the Wild (TBA 2016)","['1935', '1972', '1978', '1993', '1997', '2009']"
313,"Candy: A Novel of Love and Addiction (1998), Luke Davies",Candy (2006),['2006']
314,"Canterbury Tales (Fourteenth Century), Geoffrey Chaucer",Canterbury Tales (1972),['1972']
316,"Canyon Passage (1945), Ernest Haycox",Canyon Passage (1946),['1946']
317,"Captain Blood: His Odyssey (1922), Rafael Sabatini","Captain Blood (1924)
Captain Blood (1935)
Fortunes of Captain Blood (1950)
* Captain Pirate (1952) (a. k. a. Captain Blood, Fugitive, UK only)
* The Son of Captain Blood (1962)
Odyssey of Captain Blood (1991)","['1924', '1935', '1950', '1952', '1962', '1991']"
318,"A Captive in the Land (1962), James Aldridge",A Captive in the Land (1990),['1990']
319,"The Captives (1955), Elmore Leonard",The Tall T (1957),['1957']
320,"Car, Boy, Girl (1961), Gordon Buford","Herbie, the Love Bug (1968–2005) (series)
The Love Bug (1968)
* Herbie Rides Again (1974)
** Herbie Goes to Monte Carlo (1977)
** * Herbie Goes Bananas (1980)
** ** The Love Bug (1997) (TV)
** ** * Herbie: Fully Loaded (2005)","['1968', '1968', '1974', '1977', '1980', '1997', '2005']"
321,"The Card (1911), Arnold Bennett",The Card (1952),['1952']
322,"Careful, He Might Hear You (1963), Sumner Locke Elliott","Careful, He Might Hear You (1983)",['1983']
323,"Carlito's Way (1975), Edwin Torres
* After Hours (1979), Edwin Torres","Carlito's Way (1993)
* Carlito's Way: Rise to Power (2005)","['1993', '2005']"
324,"The Carpetbaggers (1961), Harold Robbins","The Carpetbaggers, (1964)
* Nevada Smith (1964) (prequel)
** Nevada Smith Tv (1975) (TV) (failed pilot to TV series of same name)","['1964', '1964', '1975']"
325,"La Casa de los Espíritus (The House of the Spirits) (1982), Isabel Allende",The House of the Spirits (1993),['1993']
326,"A Case of Need (1968), Michael Crichton (as Jeffery Hudson)",The Carey Treatment (1972),['1972']
327,"Les carnets du Major Thompson (The Trophies of Major Thompson) (1954), Pierre Daninos","The French, They Are a Funny Race (1955)",['1955']
328,"Case File: FBI (1953), Gordon Gordon and Mildred Gordon (as John Ripley)",Down Three Dark Streets (1954),['1954']
329,"Cash McCall (1955), Cameron Hawley",Cash McCall (1960),['1960']
330,"Casino Royale (1953), Ian Fleming","Casino Royale (1967)
Casino Royale (2006)","['1967', '2006']"
331,"The Castle (1926), Franz Kafka","The Castle (1968)
The Castle (1994)
The Land Surveyor (Землемер) (1994)
Das Schloß (1997)","['1968', '1994', '1994', '1997']"
332,"Car Chaser (1982), Elmore Leonard",Cat Chaser (1989),['1989']
333,"The Cat That Walked by Himself (1902), Rudyard Kipling",The Cat Who Walked by Herself (1988),['1988']
334,"Catch-22 (1961), Joseph Heller",Catch-22 (1970),['1970']
335,"[[Louis L'Amour#Novels - Catlow (1963) ISBN 0-553-24767-0|Catlow]] (1963), Louis L'Amour",Catlow (1971),['1971']
336,"The Caveman's Valentine (1994), George Dawes Green",The Caveman's Valentine (2001),['2001']
337,"Les cerfs-volants (1980), Romain Gary",Les cerfs-volants (2007) (TV),['2007']
338,"Celle qui n'était plus (The Woman Who Was No More (U.S. edition only, 1954)) (1952), Pierre Boileau and Thomas Narcejac","Les Diaboliques (1955)
Diabolique (1996)","['1955', '1996']"
339,"The Cement Garden (1978), Ian McEwan",The Cement Garden (1993),['1993']
340,"Centennial (1974), James A. Michener",Centennial (1978) (TV),['1978']
341,"A Certain Mr. Takahashi (1985), Ann Ireland",The Pianist (1991),['1991']
342,"La chair du maître (1997), Dany Laferrière",Vers le Sud (Heading South) (2005),['2005']
343,"The Chamber (1994), John Grisham",The Chamber (1996),['1996']
344,"La chambre bleue (The Blue Room) (1964), Georges Simenon",La Habitación azul (The Blue Room) (2002),['2002']
345,"Champagne (1926), Walter C. Mycroft",Champagne (1928),['1928']
346,"The Chancellor Manuscript (1977), Robert Ludlum",The Chancellor Manuscript (TBA 2012),[]
347,"Changhen Ge (1995), Wang Anyi",Everlasting Regret (2005),['2005']
348,"Charlie and the Chocolate Factory (1964), Roald Dahl","Willy Wonka & the Chocolate Factory (1971)
Charlie and the Chocolate Factory (2005)","['1971', '2005']"
349,"Charlie Chan Carries On (1930), Earl Derr Biggers","Charlie Chan Carries On (1931)
Charlie Chan's Murder Cruise (1940)","['1931', '1940']"
350,"Charlie M (1977), Brian Freemantle",Charlie Muffin (1979) (TV),['1979']
351,"Charlotte Gray (1999), Sebastian Faulks",Charlotte Gray (2001),['2001']
352,"Charlotte's Web (1952), E. B. White","Charlotte's Web (1973)
* Charlotte's Web 2: Wilbur's Great Adventure (2003) (V)
Charlotte's Web (2006)","['1973', '2003', '2006']"
353,"Chateau Bon Vivant (1969), Frankie O'Rear and John O'Rear",Snowball Express (1972),['1972']
354,"The Cheetah Girls (1999–2006) (series), Deborah Gregory","The Cheetah Girls (2003–2008) (series)
The Cheetah Girls (2003) (TV)
* The Cheetah Girls 2 (2006) (TV)
** The Cheetah Girls: One World (2008) (TV)","['2003', '2003', '2006', '2008']"
355,"The Children of Light (1960), H. L. Lawrence",The Damned (1963),['1963']
356,"The Children of Men (1992), P. D. James",Children of Men (2006),['2006']
357,"Children of Pleasure (1932), Larry Barretto",The Crash (1932),['1932']
358,"The Children of Sanchez (1961), Oscar Lewis",The Children of Sanchez (1978),['1978']
359,"Children of the Covered Wagon (1951), Mary Jane Carr","Westward Ho, the Wagons! (1956)",['1956']
360,"China Seas (1934), Crosbie Garstin",China Seas (1935),['1935']
361,"The Chinese Parrot (1926), Earl Derr Biggers",The Chinese Parrot (1927),['1927']
362,"Chocolat (1999), Joanne Harris",Chocolat (2000),['2000']
363,"The Chocolate War (1974), Robert Cormier",The Chocolate War (1988),['1988']
364,"Christine (1983), Stephen King",Christine (1983),['1983']
365,"Christmas at Candleshoe (1953), J. I. M. Stewart (as Michael Innes)",Candleshoe (1977),['1977']
366,"Christmas at Twenty-Nine (2002), Kamato Toshio",Singles (2003),['2003']
367,"A Christmas Gift (a. k. a. The Melodeon) (1977), Glendon Swarthout",Kelly & Dolly: A Christmas to Remember (1984) (TV),['1984']
368,"Christmas Holiday (1939), W. Somerset Maugham",Christmas Holiday (1944),['1944']
369,"The Christmas Shoes (2002), Donna VanLiere","The Christmas Shoes (2002)
* The Christmas Blessing (2005)
** The Christmas Hope (2009)","['2002', '2005', '2009']"
370,"Christopher Strong (1932), Gilbert Frankau",Christopher Strong (1933),['1933']
371,"The Chronicles of Narnia (1950–1956) (series), C. S. Lewis
The Lion, the Witch and the Wardrobe (1950)
* Prince Caspian (1951)
** The Voyage of the Dawn Treader (1952)
** * The Silver Chair (1953)
** ** * The Magician's Nephew (1955)","The Lion, the Witch and the Wardrobe (1967) (TV) (serial)
The Lion, the Witch and the Wardrobe (1979) (TV)
The Chronicles of Narnia (1988–1990) (TV) (serial)
The Lion, the Witch and the Wardrobe (1988)
* Prince Caspian and The Voyage of the Dawn Treader (1989)
** The Silver Chair (1990)
The Chronicles of Narnia (2005–present) (series)
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)
* The Chronicles of Narnia: Prince Caspian (2008)
** The Chronicles of Narnia: The Voyage of the Dawn Treader (2010)
** * The Chronicles of Narnia: The Magician's Nephew (2012)","['1967', '1979', '1988', '1988', '1989', '1990', '2005', '2005', '2008', '2010', '2012']"
372,"The Chronicles of Prydain (1964–1968) (series), Lloyd Alexander
The Book of Three (1964)
* The Black Cauldron (1965)",The Black Cauldron (1985),['1985']
373,"The Cider House Rules (1985), John Irving",The Cider House Rules (1999),['1999']
374,"Cimarron (1929), Edna Ferber","Cimarron (1931)
Cimarron (1960)","['1931', '1960']"
375,"The Cincinnati Kid (1964), Richard Jessup",The Cincinnati Kid (1965),['1965']
376,"Cinderella Liberty (1973), Darryl Ponicsan",Cinderella Liberty (1973),['1973']
377,"Cinq semaines en ballon (Five Weeks in a Balloon) (1863), Jules Verne","Flight of the Lost Balloon (1961)
Five Weeks in a Balloon (1962)
Viaje Fantástico en Globo (1975)","['1961', '1962', '1975']"
378,"The Circus of Dr. Lao (1935), Charles G. Finney",7 Faces of Dr. Lao (1964),['1964']
379,"Cirque Du Freak: The Saga of Darren Shan (2000–2006) (series), Darren Shan
Cirque du Freak (2000)
* The Vampire's Assistant (2000)
** Tunnels of Blood (2000)",Cirque du Freak: The Vampire's Assistant (2009),['2009']
380,"The Citadel (1937), A. J. Cronin",The Citadel (1938),['1938']
381,"The City of Ember (2003), Jeanne DuPrau",City of Ember (2008),['2008']
382,"City of God (Cidade de Deus) (1997), Paulo Lins",City of God (2002),['2002']
383,"Clair de femme (1977), Romain Gary",Clair de femme (1979),['1979']
384,"The Clan of the Cave Bear (1980), Jean Auel",The Clan of the Cave Bear (1986),['1986']
385,"Ku Klux Klan Trilogy (1902–1907) (series), Thomas Dixon, Jr.
The Leopard's Spots (1902)
* The Clansman (1905)
** The Traitor (1907)","The Birth of a Nation (1915)
* The Fall of a Nation (1916)","['1915', '1916']"
386,"Class Reunion (Der Abituriententag) (1928), Franz Werfel",Class Reunion (1974) (TV),['1974']
387,"Clean Break (1955), Lionel White",The Killing (1956),['1956']
388,"Clear and Present Danger (1989), Tom Clancy",Clear and Present Danger (1994),['1994']
389,"The Client (1993), John Grisham",The Client (1994),['1994']
390,"Clockers (1992), Richard Price",Clockers (1995),['1995']
391,"A Clockwork Orange (1962), Anthony Burgess","Vinyl (1965)
A Clockwork Orange (1971)","['1965', '1971']"
